date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:43	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202024%2020:12:37%20GMT	https://blueprint-trades.com/robots.txt		(from )
20:12:44	44035/-1	---M--	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:38%20GMT	https://blueprint-trades.com/	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/index.html	(from )
20:12:44	1535/1535	---M--	200	added ('OK')	image/png	etag:%225ff-600488eb168ee%22	https://blueprint-trades.com/assets/img/favicon.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/favicon.png	(from https://blueprint-trades.com/)
20:12:46	163895/163895	---MCZ	200	added ('OK')	text/css	etag:%2228037-600488cce42ef-gzip%22	https://blueprint-trades.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/bootstrap.min.css	(from https://blueprint-trades.com/)
20:12:46	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-600488cb471a3-gzip%22	https://blueprint-trades.com/assets/css/animate.min.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/animate.min.css	(from https://blueprint-trades.com/)
20:12:47	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-600488cdbdf44-gzip%22	https://blueprint-trades.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/magnific-popup.css	(from https://blueprint-trades.com/)
20:12:47	59263/59263	---M-Z	200	added ('OK')	text/css	etag:%22e77f-600488cd68fe8-gzip%22	https://blueprint-trades.com/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/fontawesome-all.min.css	(from https://blueprint-trades.com/)
20:12:48	4758/4758	---M-Z	200	added ('OK')	text/css	etag:%221296-600488cd3730b-gzip%22	https://blueprint-trades.com/assets/css/flaticon.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/flaticon.css	(from https://blueprint-trades.com/)
20:12:48	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-600488cdf1b61-gzip%22	https://blueprint-trades.com/assets/css/odometer.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/odometer.css	(from https://blueprint-trades.com/)
20:12:49	322/322	---M-Z	200	added ('OK')	text/css	etag:%22142-600488cd89387-gzip%22	https://blueprint-trades.com/assets/css/jarallax.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/jarallax.css	(from https://blueprint-trades.com/)
20:12:50	15562/15562	---M-Z	200	added ('OK')	text/css	etag:%223cca-600488cecc757-gzip%22	https://blueprint-trades.com/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/swiper-bundle.min.css	(from https://blueprint-trades.com/)
20:12:50	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-600488ce564bc-gzip%22	https://blueprint-trades.com/assets/css/slick.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/slick.css	(from https://blueprint-trades.com/)
20:12:51	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-600488cb78e81-gzip%22	https://blueprint-trades.com/assets/css/aos.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/aos.css	(from https://blueprint-trades.com/)
20:12:51	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-600488cd15fcc-gzip%22	https://blueprint-trades.com/assets/css/default.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/default.css	(from https://blueprint-trades.com/)
20:12:52	183273/183273	---MCZ	200	added ('OK')	text/css	etag:%222cbe9-600488ce99ad9-gzip%22	https://blueprint-trades.com/assets/css/style.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/style.css	(from https://blueprint-trades.com/)
20:12:52	45982/45982	---M-Z	200	added ('OK')	text/css	etag:%22b39e-600488ce3517e-gzip%22	https://blueprint-trades.com/assets/css/responsive.css	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/css/responsive.css	(from https://blueprint-trades.com/)
20:12:54	19653/19653	---MCZ	200	added ('OK')	application/javascript	etag:W/%22659e3d66-4cc5%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/favor-site/www.smartsuppchat.com/loaderd41d.js	(from https://blueprint-trades.com/)
20:12:54	4698/4698	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:48%20GMT	https://blueprint-trades.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/cdn-cgi/l/email-protection.html	(from https://blueprint-trades.com/)
20:12:55	18892/18892	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:49%20GMT	https://blueprint-trades.com/contact.php	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/contact.html	(from https://blueprint-trades.com/)
20:12:55	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22658bfe17-4d7%22	https://blueprint-trades.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://blueprint-trades.com/)
20:12:56	89685/89685	---MC-	200	added ('OK')	text/javascript	date:Tue,%2016%20Jan%202024%2020:12:50%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/favor-site/translate.google.com/translate_a/elementa0d8.js	(from https://blueprint-trades.com/)
20:12:56	44035/44035	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:50%20GMT	https://blueprint-trades.com/index.php	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/index-2.html	(from https://blueprint-trades.com/)
20:12:57	3992/3992	---M--	200	added ('OK')	image/png	etag:%22f98-600488fdaa5c1%22	https://blueprint-trades.com/assets/img/logo/logo.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/logo/logo.png	(from https://blueprint-trades.com/)
20:12:57	28046/28046	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2016:58:52%20GMT	https://blueprint-trades.com/faq.html	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/faq.html	(from https://blueprint-trades.com/)
20:12:58	19870/19870	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Aug%202023%2016:57:25%20GMT	https://blueprint-trades.com/privacy.html	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/privacy.html	(from https://blueprint-trades.com/)
20:12:58	17549/17549	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:52%20GMT	https://blueprint-trades.com/login.php	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/login.html	(from https://blueprint-trades.com/)
20:12:59	20194/20194	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:12:53%20GMT	https://blueprint-trades.com/register.php	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/register.html	(from https://blueprint-trades.com/)
20:13:00	79357/79357	---M--	200	added ('OK')	image/png	etag:%22135fd-600488d6542b7%22	https://blueprint-trades.com/assets/img/banner/h2_banner_img.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/banner/h2_banner_img.png	(from https://blueprint-trades.com/)
20:13:01	1825/1825	---M--	200	added ('OK')	image/png	etag:%22721-600488d677535%22	https://blueprint-trades.com/assets/img/banner/h2_banner_shape01.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/banner/h2_banner_shape01.png	(from https://blueprint-trades.com/)
20:13:01	1178/1178	---M--	200	added ('OK')	image/png	etag:%2249a-600488d6aa1b2%22	https://blueprint-trades.com/assets/img/banner/h2_banner_shape02.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/banner/h2_banner_shape02.png	(from https://blueprint-trades.com/)
20:13:02	5724/5724	---M--	200	added ('OK')	image/png	etag:%22165c-600488d6dce30%22	https://blueprint-trades.com/assets/img/banner/h2_banner_shape03.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/banner/h2_banner_shape03.png	(from https://blueprint-trades.com/)
20:13:02	31488/31488	---M--	200	added ('OK')	image/jpeg	etag:%227b00-600488f33a846%22	https://blueprint-trades.com/assets/img/images/h2_about_img01.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/h2_about_img01.jpg	(from https://blueprint-trades.com/)
20:13:03	70159/70159	---M--	200	added ('OK')	image/jpeg	etag:%221120f-600488f36f404%22	https://blueprint-trades.com/assets/img/images/h2_about_img02.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/h2_about_img02.jpg	(from https://blueprint-trades.com/)
20:13:03	879/879	---M--	200	added ('OK')	image/png	etag:%2236f-600488f392682%22	https://blueprint-trades.com/assets/img/images/h2_about_shape01.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/h2_about_shape01.png	(from https://blueprint-trades.com/)
20:13:04	2858/2858	---M--	200	added ('OK')	image/png	etag:%22b2a-600488f3c629f%22	https://blueprint-trades.com/assets/img/images/h2_about_shape02.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/h2_about_shape02.png	(from https://blueprint-trades.com/)
20:13:04	18059/18059	---M--	200	added ('OK')	image/png	etag:%22468b-600488f3f9ebd%22	https://blueprint-trades.com/assets/img/images/h2_about_shape03.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/h2_about_shape03.png	(from https://blueprint-trades.com/)
20:13:05	8844/8844	---M--	200	added ('OK')	image/png	etag:%22228c-600488ea245fa%22	https://blueprint-trades.com/assets/img/brand/brand_img01.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/brand/brand_img01.png	(from https://blueprint-trades.com/)
20:13:05	3959/3959	---M--	200	added ('OK')	image/png	etag:%22f77-600488ea57278%22	https://blueprint-trades.com/assets/img/brand/brand_img02.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/brand/brand_img02.png	(from https://blueprint-trades.com/)
20:13:06	4366/4366	---M--	200	added ('OK')	image/png	etag:%22110e-600488ea8be35%22	https://blueprint-trades.com/assets/img/brand/brand_img03.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/brand/brand_img03.png	(from https://blueprint-trades.com/)
20:13:06	2305/2305	---M--	200	added ('OK')	image/png	etag:%22901-600488eabfa52%22	https://blueprint-trades.com/assets/img/brand/brand_img04.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/brand/brand_img04.png	(from https://blueprint-trades.com/)
20:13:07	6056/6056	---M--	200	added ('OK')	image/png	etag:%2217a8-600488eaf3670%22	https://blueprint-trades.com/assets/img/brand/brand_img05.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/brand/brand_img05.png	(from https://blueprint-trades.com/)
20:13:07	26601/26601	---M--	200	added ('OK')	image/jpeg	etag:%2267e9-600488fa27eee%22	https://blueprint-trades.com/assets/img/images/overview_img01.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/overview_img01.jpg	(from https://blueprint-trades.com/)
20:13:08	23861/23861	---M--	200	added ('OK')	image/jpeg	etag:%225d35-600488fa4d0ac%22	https://blueprint-trades.com/assets/img/images/overview_img02.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/overview_img02.jpg	(from https://blueprint-trades.com/)
20:13:08	4787/4787	---M--	200	added ('OK')	image/png	etag:%2212b3-600488f9f42d1%22	https://blueprint-trades.com/assets/img/images/overview_img_shape.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/overview_img_shape.png	(from https://blueprint-trades.com/)
20:13:09	16445/16445	---M--	200	added ('OK')	image/png	etag:%22403d-600488f13fb00%22	https://blueprint-trades.com/assets/img/images/choose_shape.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/choose_shape.png	(from https://blueprint-trades.com/)
20:13:10	890927/890927	---M--	200	added ('OK')	video/mp4	etag:%22d982f-6004892a4b069%22	https://blueprint-trades.com/video.mp4	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/video.mp4	(from https://blueprint-trades.com/)
20:13:11	22427/22427	---M--	200	added ('OK')	image/jpeg	etag:%22579b-600488dcbad25%22	https://blueprint-trades.com/assets/img/bg/cta_bg.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/bg/cta_bg.jpg	(from https://blueprint-trades.com/)
20:13:11	13753/13753	---M--	200	added ('OK')	image/png	etag:%2235b9-600488fa94549%22	https://blueprint-trades.com/assets/img/images/pricing_shape.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/images/pricing_shape.png	(from https://blueprint-trades.com/)
20:13:12	840/840	---M-Z	200	added ('OK')	image/svg+xml	etag:%22348-600488ec9657b-gzip%22	https://blueprint-trades.com/assets/img/icons/check_icon02.svg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/icons/check_icon02.svg	(from https://blueprint-trades.com/)
20:13:14	14723/14723	---M--	200	added ('OK')	image/jpeg	etag:%223983-600488dd89d9b%22	https://blueprint-trades.com/assets/img/bg/h2_blog_bg.jpg	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/bg/h2_blog_bg.jpg	(from https://blueprint-trades.com/)
20:13:14	9768028/9768028	---M--	200	added ('OK')	video/mp4	etag:%22950c5c-6021cdbf42a0b%22	https://blueprint-trades.com/video2.mp4	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/video2.mp4	(from https://blueprint-trades.com/)
20:13:15	13256/13256	---M--	200	added ('OK')	text/javascript	etag:%22802171ab696acbf7985ebde4fec020d5%22	https://s3.tradingview.com/external-embedding/embed-widget-timeline.js	C:/My%20Web%20Sites/favor-site/s3.tradingview.com/external-embedding/embed-widget-timeline.js	(from https://blueprint-trades.com/)
20:13:16	99/99	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2020:13:10%20GMT	https://blueprint-trades.com/contact-us.php	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/contact-us.html	(from https://blueprint-trades.com/)
20:13:17	1123033/1123033	---M--	200	added ('OK')	application/pdf	etag:%221122d9-6004891245afb%22	https://blueprint-trades.com/cert.pdf	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/cert.pdf	(from https://blueprint-trades.com/)
20:13:18	947701/947701	---M--	200	added ('OK')	application/pdf	etag:%22e75f5-6021bd84f4249%22	https://blueprint-trades.com/ukcert.pdf	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/ukcert.pdf	(from https://blueprint-trades.com/)
20:13:19	3973/3973	---M--	200	added ('OK')	image/png	etag:%22f85-600488fddc29f%22	https://blueprint-trades.com/assets/img/logo/w_logo.png	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/img/logo/w_logo.png	(from https://blueprint-trades.com/)
20:13:20	107748/107748	---MCZ	200	added ('OK')	application/javascript	etag:%221a4e4-60048911a48e3-gzip%22	https://blueprint-trades.com/assets/js/vendor/jquery-3.6.0.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/vendor/jquery-3.6.0.min.js	(from https://blueprint-trades.com/)
20:13:20	78129/78129	---MCZ	200	added ('OK')	application/javascript	etag:%2213131-6004890d4761b-gzip%22	https://blueprint-trades.com/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/bootstrap.min.js	(from https://blueprint-trades.com/)
20:13:21	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-6004890eafba9-gzip%22	https://blueprint-trades.com/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.magnific-popup.min.js	(from https://blueprint-trades.com/)
20:13:22	12147/12147	---M-Z	200	added ('OK')	application/javascript	etag:%222f73-6004890ee37c6-gzip%22	https://blueprint-trades.com/assets/js/jquery.odometer.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.odometer.min.js	(from https://blueprint-trades.com/)
20:13:23	4424/4424	---M-Z	200	added ('OK')	application/javascript	etag:%221148-6004890e03db1-gzip%22	https://blueprint-trades.com/assets/js/jquery.appear.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.appear.js	(from https://blueprint-trades.com/)
20:13:24	87601/87601	---MCZ	200	added ('OK')	application/javascript	etag:%2215631-6004890d7c1d8-gzip%22	https://blueprint-trades.com/assets/js/gsap.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/gsap.js	(from https://blueprint-trades.com/)
20:13:24	52453/52453	---M-Z	200	added ('OK')	application/javascript	etag:%22cce5-6004890fb66bc-gzip%22	https://blueprint-trades.com/assets/js/ScrollTrigger.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/ScrollTrigger.js	(from https://blueprint-trades.com/)
20:13:25	18394/18394	---M-Z	200	added ('OK')	application/javascript	etag:%2247da-600489101ee96-gzip%22	https://blueprint-trades.com/assets/js/SplitText.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/SplitText.js	(from https://blueprint-trades.com/)
20:13:25	1786/1786	---M-Z	200	added ('OK')	application/javascript	etag:%226fa-6004890d9f456-gzip%22	https://blueprint-trades.com/assets/js/gsap-animation.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/gsap-animation.js	(from https://blueprint-trades.com/)
20:13:26	15516/15516	---M-Z	200	added ('OK')	application/javascript	etag:%223c9c-6004890de1ad3-gzip%22	https://blueprint-trades.com/assets/js/jarallax.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jarallax.min.js	(from https://blueprint-trades.com/)
20:13:27	9897/9897	---M-Z	200	added ('OK')	application/javascript	etag:%2226a9-6004890f19323-gzip%22	https://blueprint-trades.com/assets/js/jquery.parallaxScroll.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.parallaxScroll.min.js	(from https://blueprint-trades.com/)
20:13:27	23383/23383	---M-Z	200	added ('OK')	application/javascript	etag:%225b57-6004890f81afe-gzip%22	https://blueprint-trades.com/assets/js/particles.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/particles.min.js	(from https://blueprint-trades.com/)
20:13:28	3997/3997	---M-Z	200	added ('OK')	application/javascript	etag:%22f9d-6004890e36a2f-gzip%22	https://blueprint-trades.com/assets/js/jquery.easypiechart.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.easypiechart.min.js	(from https://blueprint-trades.com/)
20:13:28	1437/1437	---M-Z	200	added ('OK')	application/javascript	etag:%2259d-6004890e6a64c-gzip%22	https://blueprint-trades.com/assets/js/jquery.inview.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/jquery.inview.min.js	(from https://blueprint-trades.com/)
20:13:29	135574/135574	---MCZ	200	added ('OK')	application/javascript	etag:%2221196-6004891053a54-gzip%22	https://blueprint-trades.com/assets/js/swiper-bundle.min.js	C:/My%20Web%20Sites/favor-site/blueprint-trades.com/assets/js/swiper-bundle.min.js	(from https://blueprint-trades.com/)
